Id,Designator,Designation,MPN,Footprint,DNO - Do Not Order,DNP,MOQ,price,Quantity,Amount,LCSC Part No.,Supplier Link
19,"R4, R5",1k,ERJPA2F1001X,402,Yes,No,-,0,2,0,,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_PANASONIC-ERJPA2F1001X_C427241.html
20,R6,50,RT0402BRE0750RL,402,No,No,Yes,0.0207,20,0.414,,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RT0402BRE0750RL_C853312.html
21,SW1,SW_Push,PTS810SJM250SMTRLFS,SW_SPST_PTS810,No,No,No,0.6,3,1.8,,https://lcsc.com/product-detail/Tactile-Switches_C-K-PTS810SJM250SMTRLFS_C116501.html
22,U1,RP2040,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,No,No,No,1.131,1,1.131,,https://lcsc.com/product-detail/Microcontrollers-MCU-MPU-SOC_Raspberry-Pi-RP2040_C2040.html
23,U2,W25Q128JVS,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,Yes,No,-,0,1,0,,https://lcsc.com/product-detail/NOR-FLASH_Winbond-Elec-W25Q128JVSIM_C2613930.html
24,U3,AMS1117S-3.3,AMS1117S-3.3,SOT-89-3,yes,No,-,0,1,0,,https://lcsc.com/product-detail/Voltage-Regulators-Linear-Low-Drop-Out-LDO-Regulators_JSMSEMI-AMS1117S-3-3_C917152.html
25,Y1,Crystal_GND24,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,No,No,No,0.3731,2,0.7462,,
26,Y2,Crystal_GND24,XXGBBCNANF-25.000000MHZ,Crystal_SMD_3225-4Pin_3.2x2.5mm,No,No,Yes,0.1459,5,0.7295,,https://lcsc.com/product-detail/Crystals_TAITIEN-Elec-XXGBBCNANF-25-000000MHZ_C521601.html
,Rounding Errors,,,,1.2338,,,,,,,
,Shipping,,,,3.74,,,,,,,
,Total,:,,,23.49,,,,,,,
